"","age","workclass","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income_class"
"22749",41,"Self-Employed",14,"Married","Sales","Wife","White","Female",0,1902,35,"United-States",">50K"
"22755",71,"Private",9,"Married","Sales","Husband","White","Male",0,2467,52,"United-States","<=50K"
"22794",39,"Private",9,"Married","Blue-Collar","Husband","Black","Male",0,1887,40,"United-States",">50K"
"22802",26,"Private",9,"Not-Married","Blue-Collar","Unmarried","Black","Female",0,1594,40,"United-States","<=50K"
"22846",57,"Private",14,"Not-Married","White-Collar","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
"22848",42,"Private",10,"Married","Sales","Husband","White","Male",0,1887,50,"United-States",">50K"
"22868",33,"Federal-Govt",16,"Married","Professional","Husband","White","Male",0,1848,40,"United-States",">50K"
"22870",40,"Private",14,"Never-Married","Professional","Not-in-family","White","Female",0,1669,40,"United-States","<=50K"
"22873",35,"Private",7,"Married","Blue-Collar","Husband","White","Male",0,2057,40,"United-States","<=50K"
"22944",30,"Self-Employed",9,"Married","Professional","Husband","White","Male",0,1977,15,"United-States",">50K"
"22985",56,"Private",13,"Married","Professional","Husband","White","Male",0,1902,65,"United-States",">50K"
"23016",42,"Private",13,"Married","Sales","Husband","White","Male",0,1887,40,"United-States",">50K"
"23055",68,"Federal-Govt",9,"Not-Married","Professional","Not-in-family","White","Female",0,3683,40,"United-States","<=50K"
"23068",34,"Private",9,"Never-Married","Blue-Collar","Not-in-family","Black","Male",0,2001,40,"United-States","<=50K"
"23070",32,"Private",13,"Not-Married","Blue-Collar","Not-in-family","White","Female",0,1590,42,"United-States","<=50K"
"23119",21,"Other-Govt",10,"Never-Married","Sales","Own-child","Black","Female",0,1602,12,"United-States","<=50K"
"23146",41,"Private",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,2339,40,"United-States","<=50K"
"23188",25,"Private",10,"Never-Married","Admin","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"23257",63,"Private",13,"Married","Sales","Husband","White","Male",0,1848,40,"United-States",">50K"
"23267",66,"Self-Employed",16,"Married","Sales","Husband","White","Male",0,2377,25,"United-States",">50K"
"23306",37,"Private",11,"Married","Professional","Wife","White","Female",0,1887,35,"United-States",">50K"
"23309",39,"Private",13,"Married","Professional","Husband","White","Male",0,1902,50,"United-States",">50K"
"23321",56,"Other-Govt",16,"Not-Married","Professional","Not-in-family","White","Female",0,1669,38,"United-States","<=50K"
"23367",53,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,1977,55,"United-States",">50K"
"23391",34,"Private",9,"Never-Married","Blue-Collar","Own-child","White","Male",0,1980,40,"United-States","<=50K"
"23412",31,"Other-Govt",16,"Married","Professional","Husband","White","Male",0,1977,70,"United-States",">50K"
"23465",71,"Private",9,"Married","White-Collar","Husband","White","Male",0,2377,45,"United-States",">50K"
"23555",37,"Private",13,"Married","White-Collar","Husband","White","Male",0,1977,60,"United-States",">50K"
"23602",47,"Other-Govt",12,"Not-Married","White-Collar","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"23630",43,"Other-Govt",8,"Married","Blue-Collar","Husband","White","Male",0,1579,40,"United-States","<=50K"
"23673",41,"Private",13,"Married","Professional","Husband","White","Male",0,1887,40,"United-States",">50K"
"23674",47,"Self-Employed",3,"Married","Sales","Husband","White","Male",0,2179,50,"Latin-America","<=50K"
"23682",56,"Private",10,"Married","Sales","Husband","White","Male",0,1848,50,"United-States",">50K"
"23712",63,"Self-Employed",9,"Not-Married","Blue-Collar","Not-in-family","White","Female",0,2205,40,"United-States","<=50K"
"23730",41,"Private",11,"Married","Professional","Wife","White","Female",0,1628,5,"United-States","<=50K"
"23739",26,"Self-Employed",9,"Married","Service","Wife","White","Female",0,1579,20,"United-States","<=50K"
"23757",34,"Private",13,"Married","Sales","Husband","White","Male",0,1977,50,"United-States",">50K"
"23761",51,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"23787",18,"Private",10,"Never-Married","Blue-Collar","Own-child","Black","Female",0,1602,35,"United-States","<=50K"
"23790",48,"Other-Govt",9,"Married","Other-Occupations","Wife","White","Female",0,1848,40,"United-States",">50K"
"23803",41,"Private",10,"Not-Married","Professional","Own-child","White","Female",0,3900,40,"United-States","<=50K"
"23816",71,"Self-Employed",13,"Married","White-Collar","Husband","White","Male",0,2392,60,"United-States",">50K"
"23845",50,"Private",13,"Married","Blue-Collar","Husband","White","Male",0,1887,50,"United-States",">50K"
"23904",35,"Other-Govt",13,"Married","White-Collar","Husband","White","Male",0,1740,80,"United-States","<=50K"
"23953",59,"Private",16,"Married","Professional","Husband","White","Male",0,2415,45,"United-States",">50K"
"23966",36,"Private",14,"Married","Professional","Husband","White","Male",0,1977,50,"United-States",">50K"
"23988",40,"Private",13,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"23995",43,"Private",6,"Married","Blue-Collar","Husband","Black","Male",0,1887,40,"United-States",">50K"
"24039",28,"Private",12,"Married","Other-Occupations","Husband","White","Male",0,1887,70,"United-States",">50K"
"24046",36,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"24090",35,"Self-Employed",12,"Married","Sales","Husband","White","Male",0,1887,45,"United-States",">50K"
"24091",54,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2051,40,"United-States","<=50K"
"24108",59,"Private",9,"Married","White-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"24132",46,"Self-Employed",16,"Married","Professional","Husband","White","Male",0,1902,50,"United-States",">50K"
"24138",48,"Other-Govt",4,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States","<=50K"
"24157",35,"Private",16,"Married","Professional","Husband","Asian","Male",0,1902,40,"China",">50K"
"24208",39,"Private",11,"Married","Blue-Collar","Husband","White","Male",0,1628,48,"United-States","<=50K"
"24299",56,"Private",9,"Widowed","Sales","Not-in-family","White","Female",0,1974,40,"United-States","<=50K"
"24305",31,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1573,40,"United-States","<=50K"
"24308",42,"Private",9,"Never-Married","Admin","Other-relative","Black","Female",0,2339,40,"Trinadad&Tobago","<=50K"
"24317",56,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1902,60,"United-States",">50K"
"24321",49,"Self-Employed",9,"Married","White-Collar","Husband","White","Male",0,1902,60,"United-States",">50K"
"24324",53,"Private",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,2444,45,"United-States",">50K"
"24326",19,"Private",9,"Never-Married","Admin","Own-child","White","Male",0,2001,40,"United-States","<=50K"
"24330",61,"Other-Govt",15,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"24385",51,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1977,60,"United-States",">50K"
"24395",28,"Private",13,"Married","Professional","Husband","White","Male",0,1887,40,"United-States",">50K"
"24396",83,"Self-Employed",13,"Married","White-Collar","Husband","White","Male",0,2392,55,"United-States",">50K"
"24398",42,"Private",13,"Married","White-Collar","Husband","White","Male",0,1485,60,"United-States","<=50K"
"24444",46,"Private",14,"Married","Admin","Husband","White","Male",0,1740,60,"United-States","<=50K"
"24478",43,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"24481",30,"Private",10,"Married","Sales","Husband","White","Male",0,1672,45,"United-States","<=50K"
"24482",42,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1887,40,"United-States",">50K"
"24510",37,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,50,"United-States","<=50K"
"24512",68,"Private",10,"Married","Sales","Husband","White","Male",0,2377,55,"United-States",">50K"
"24551",28,"Private",13,"Never-Married","Admin","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"24569",56,"Private",10,"Not-Married","White-Collar","Not-in-family","White","Female",0,1980,40,"United-States","<=50K"
"24673",28,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1740,30,"United-States","<=50K"
"24736",60,"Federal-Govt",13,"Married","White-Collar","Husband","Asian","Male",0,2163,25,"Euro_2","<=50K"
"24745",51,"Private",14,"Married","White-Collar","Husband","White","Male",0,1887,47,"United-States",">50K"
"24773",36,"Private",10,"Never-Married","Service","Not-in-family","White","Female",0,1617,40,"United-States","<=50K"
"24791",50,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,2415,60,"United-States",">50K"
"24792",74,"Self-Employed",10,"Married","Professional","Husband","White","Male",0,1648,35,"United-States","<=50K"
"24800",51,"Other-Govt",12,"Married","Admin","Wife","White","Female",0,1628,30,"United-States","<=50K"
"24811",43,"Private",13,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"24848",72,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,2246,28,"United-States",">50K"
"24849",26,"Self-Employed",13,"Not-Married","White-Collar","Not-in-family","White","Male",0,1876,38,"United-States","<=50K"
"24860",41,"Private",9,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
"24865",57,"Private",10,"Widowed","Admin","Unmarried","White","Female",0,2258,38,"United-States",">50K"
"24884",38,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2051,44,"United-States","<=50K"
"24902",19,"Private",8,"Never-Married","Service","Own-child","White","Male",0,1602,20,"United-States","<=50K"
"24903",61,"Other-Govt",9,"Married","Other-Occupations","Husband","White","Male",0,1902,40,"United-States",">50K"
"24916",46,"Private",12,"Married","Blue-Collar","Husband","White","Male",0,1485,55,"United-States","<=50K"
"24937",30,"Private",13,"Married","Admin","Husband","White","Male",0,1902,40,"United-States",">50K"
"24969",58,"Private",10,"Married","Other-Occupations","Husband","White","Male",0,1902,40,"United-States",">50K"
"24985",27,"Private",10,"Married","Admin","Wife","White","Female",0,1579,40,"United-States","<=50K"
"24990",40,"Private",12,"Married","White-Collar","Husband","White","Male",0,1848,55,"United-States",">50K"
"25040",33,"Private",9,"Married","Sales","Husband","White","Male",0,1977,45,"United-States",">50K"
"25043",38,"Private",13,"Never-Married","White-Collar","Not-in-family","White","Male",0,1340,40,"United-States","<=50K"
"25058",29,"Other-Govt",11,"Never-Married","Other-Occupations","Not-in-family","White","Male",0,1564,56,"United-States",">50K"
"25111",40,"Private",9,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"25119",57,"Other-Govt",13,"Married","Admin","Husband","Asian","Male",0,1485,40,"China","<=50K"
"25136",40,"Private",16,"Married","Professional","Wife","White","Female",0,1977,20,"United-States",">50K"
"25151",31,"Private",14,"Never-Married","White-Collar","Not-in-family","White","Male",0,1564,40,"United-States",">50K"
"25200",38,"Private",10,"Never-Married","Service","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"25252",44,"Other-Govt",14,"Never-Married","Professional","Not-in-family","White","Female",0,1669,40,"United-States","<=50K"
"25254",39,"Private",10,"Not-Married","Sales","Own-child","White","Male",0,1380,70,"United-States","<=50K"
"25276",50,"Self-Employed",4,"Married","Blue-Collar","Husband","White","Male",0,1977,63,"United-States",">50K"
"25288",51,"Private",15,"Never-Married","Professional","Not-in-family","White","Female",0,2559,50,"United-States",">50K"
"25289",44,"Other-Govt",14,"Married","White-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"25310",42,"Private",10,"Not-Married","White-Collar","Not-in-family","White","Female",0,1741,50,"United-States","<=50K"
"25336",46,"Self-Employed",14,"Married","Sales","Husband","White","Male",0,1977,60,"United-States",">50K"
"25338",54,"Private",9,"Married","Sales","Husband","White","Male",0,1672,50,"United-States","<=50K"
"25379",59,"Private",10,"Married","White-Collar","Husband","White","Male",0,1848,45,"United-States",">50K"
"25400",40,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,32,"United-States",">50K"
"25409",42,"Private",10,"Married","Admin","Husband","White","Male",0,1628,40,"United-States","<=50K"
"25418",21,"Private",10,"Never-Married","Sales","Not-in-family","White","Male",0,2001,45,"United-States","<=50K"
"25439",54,"Private",14,"Married","White-Collar","Husband","White","Male",0,1887,44,"United-States",">50K"
"25445",56,"Self-Employed",10,"Married","White-Collar","Husband","White","Male",0,1672,40,"United-States","<=50K"
"25453",45,"Private",9,"Not-Married","Service","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"25457",54,"Private",16,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"25492",68,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,2377,42,"United-States",">50K"
"25541",39,"Private",14,"Married","Professional","Wife","White","Female",0,1977,24,"United-States",">50K"
"25552",58,"Private",12,"Married","Blue-Collar","Husband","White","Male",0,1740,40,"United-States","<=50K"
"25581",48,"Private",9,"Not-Married","Admin","Not-in-family","White","Female",0,2001,40,"United-States","<=50K"
"25602",40,"Other-Govt",10,"Never-Married","Other-Occupations","Not-in-family","White","Male",0,2444,40,"United-States",">50K"
"25603",36,"Private",9,"Never-Married","White-Collar","Not-in-family","White","Male",0,2258,70,"United-States","<=50K"
"25623",45,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"25630",22,"Private",12,"Never-Married","Blue-Collar","Not-in-family","Black","Male",0,2824,40,"United-States",">50K"
"25638",29,"Self-Employed",13,"Married","White-Collar","Husband","White","Male",0,1740,70,"United-States","<=50K"
"25678",35,"Other-Govt",9,"Married","Blue-Collar","Husband","White","Male",0,1651,40,"United-States","<=50K"
"25681",38,"Other-Govt",13,"Married","Professional","Wife","Black","Female",0,1887,40,"United-States",">50K"
"25725",53,"Other-Govt",13,"Not-Married","Professional","Not-in-family","White","Female",0,1876,54,"United-States","<=50K"
"25759",58,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States","<=50K"
"25788",28,"Private",15,"Never-Married","Professional","Not-in-family","White","Male",0,2339,40,"British-Commonwealth","<=50K"
"25794",29,"Private",7,"Not-Married","Sales","Not-in-family","White","Female",0,2754,42,"United-States","<=50K"
"25797",46,"Private",16,"Married","Professional","Husband","White","Male",0,2415,55,"United-States",">50K"
"25800",46,"Federal-Govt",14,"Married","Military","Husband","White","Male",0,1887,40,"United-States",">50K"
"25801",54,"Self-Employed",10,"Married","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"25820",63,"Private",13,"Married","Blue-Collar","Husband","White","Male",0,2179,45,"United-States","<=50K"
"25832",31,"Private",16,"Married","Professional","Husband","White","Male",0,1977,99,"United-States",">50K"
"25863",48,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"25890",34,"Private",9,"Not-Married","Sales","Not-in-family","White","Female",0,1590,40,"United-States","<=50K"
"25903",53,"Private",9,"Never-Married","Sales","Not-in-family","White","Male",0,1504,35,"United-States","<=50K"
"25915",51,"Private",14,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"26032",38,"Private",13,"Never-Married","Sales","Not-in-family","White","Female",0,2444,45,"United-States",">50K"
"26078",18,"Private",7,"Never-Married","Sales","Own-child","Black","Female",0,1602,20,"United-States","<=50K"
"26102",38,"Self-Employed",10,"Married","Sales","Husband","White","Male",0,1485,60,"Other",">50K"
"26168",41,"Private",13,"Never-Married","Professional","Not-in-family","White","Female",0,1741,40,"United-States","<=50K"
"26183",44,"Federal-Govt",13,"Not-Married","Other-Occupations","Not-in-family","White","Male",0,2258,40,"United-States",">50K"
"26191",45,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,1485,50,"United-States",">50K"
"26258",32,"Private",13,"Married","Sales","Husband","White","Male",0,1848,50,"United-States",">50K"
"26266",41,"Private",10,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,1408,40,"United-States","<=50K"
"26269",37,"Self-Employed",16,"Never-Married","Professional","Not-in-family","White","Female",0,2559,60,"United-States",">50K"
"26284",50,"Private",9,"Not-Married","Blue-Collar","Unmarried","White","Male",0,1408,50,"United-States","<=50K"
"26297",68,"Self-Employed",4,"Widowed","Admin","Not-in-family","White","Female",0,1668,40,"Euro_2","<=50K"
"26311",36,"Other-Govt",13,"Married","Professional","Wife","White","Female",0,1672,38,"United-States","<=50K"
"26325",18,"Private",10,"Never-Married","Admin","Own-child","White","Male",0,1602,15,"United-States","<=50K"
"26327",24,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1579,50,"United-States","<=50K"
"26333",55,"Private",16,"Married","Professional","Husband","White","Male",0,1977,55,"United-States",">50K"
"26351",33,"Other-Govt",10,"Married","Other-Occupations","Husband","White","Male",0,1887,40,"United-States",">50K"
"26397",36,"Private",13,"Married","White-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"26416",36,"Private",14,"Married","Admin","Husband","White","Male",0,1977,40,"Other",">50K"
"26456",29,"Private",4,"Married","Blue-Collar","Husband","White","Male",0,2042,40,"United-States","<=50K"
"26458",41,"Self-Employed",13,"Married","White-Collar","Husband","Asian","Male",0,1977,60,"China",">50K"
"26478",36,"Other-Govt",16,"Married","Professional","Husband","White","Male",0,1887,50,"United-States",">50K"
"26499",61,"Federal-Govt",10,"Married","Admin","Husband","White","Male",0,1887,40,"United-States",">50K"
"26547",62,"Private",10,"Not-Married","Sales","Unmarried","White","Female",0,1617,33,"United-States","<=50K"
"26550",67,"Private",10,"Married","Admin","Husband","White","Male",0,2457,40,"United-States","<=50K"
"26572",39,"Private",12,"Not-Married","Professional","Unmarried","White","Female",0,1380,40,"United-States","<=50K"
"26600",19,"Other-Govt",10,"Never-Married","Admin","Own-child","White","Female",0,1602,40,"United-States","<=50K"
"26628",30,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1887,48,"United-States",">50K"
"26651",34,"Private",10,"Married","White-Collar","Wife","White","Female",0,1485,40,"United-States",">50K"
"26666",66,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1258,20,"United-States","<=50K"
"26671",34,"Private",13,"Never-Married","Service","Not-in-family","White","Male",0,2001,40,"United-States","<=50K"
"26696",34,"Self-Employed",9,"Married","White-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"26698",49,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States","<=50K"
"26711",50,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,50,"United-States",">50K"
"26717",43,"Private",13,"Married","Sales","Husband","White","Male",0,1902,55,"United-States",">50K"
"26726",56,"Self-Employed",10,"Married","White-Collar","Wife","White","Female",0,1977,50,"United-States",">50K"
"26753",38,"Private",13,"Married","Other-Occupations","Husband","White","Male",0,1977,40,"United-States",">50K"
"26798",34,"Private",13,"Not-Married","Sales","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
"26825",25,"Private",13,"Never-Married","White-Collar","Own-child","White","Female",0,1726,60,"United-States","<=50K"
"26837",39,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2051,40,"United-States","<=50K"
"26844",47,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1977,45,"United-States",">50K"
"26846",29,"Private",11,"Married","Other-Occupations","Husband","White","Male",0,2051,40,"United-States","<=50K"
"26854",46,"Private",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"26855",32,"Self-Employed",9,"Not-Married","Sales","Own-child","White","Male",0,1590,62,"United-States","<=50K"
"26868",17,"Federal-Govt",7,"Never-Married","Admin","Not-in-family","Black","Female",0,1602,40,"United-States","<=50K"
"26872",53,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1902,40,"United-States",">50K"
"26883",29,"Other-Govt",13,"Married","Professional","Husband","White","Male",0,1848,60,"Euro_1",">50K"
"26891",53,"Self-Employed",13,"Married","White-Collar","Husband","White","Male",0,2415,40,"United-States",">50K"
"26944",39,"Other-Govt",14,"Married","Professional","Husband","White","Male",0,1977,45,"United-States",">50K"
"26964",50,"Private",11,"Married","Professional","Wife","White","Female",0,1887,36,"United-States",">50K"
"26980",38,"Private",14,"Married","Service","Husband","Black","Male",0,1485,40,"United-States","<=50K"
"26982",41,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1848,40,"United-States",">50K"
"26983",65,"Private",13,"Married","Sales","Husband","White","Male",0,2377,40,"United-States",">50K"
"26989",35,"Other-Govt",9,"Married","Blue-Collar","Husband","White","Male",0,1485,40,"United-States",">50K"
"26996",33,"Private",2,"Married","Blue-Collar","Not-in-family","White","Male",0,2603,32,"Latin-America","<=50K"
"26999",22,"Private",10,"Never-Married","Blue-Collar","Own-child","Black","Male",0,1721,20,"United-States","<=50K"
"27023",63,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1485,40,"United-States",">50K"
"27024",58,"Private",11,"Married","Blue-Collar","Husband","White","Male",0,1887,48,"United-States",">50K"
"27029",43,"Private",13,"Married","Blue-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"27089",34,"Private",13,"Never-Married","White-Collar","Not-in-family","White","Male",0,1741,40,"United-States","<=50K"
"27165",50,"Private",4,"Married","Blue-Collar","Husband","White","Male",0,1579,65,"British-Commonwealth","<=50K"
"27230",53,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2002,40,"United-States","<=50K"
"27246",43,"Private",14,"Not-Married","Professional","Unmarried","White","Female",0,2547,40,"United-States",">50K"
"27253",41,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,2179,40,"United-States","<=50K"
"27269",35,"Private",9,"Never-Married","Blue-Collar","Own-child","White","Male",0,1974,40,"United-States","<=50K"
"27290",55,"Private",13,"Married","White-Collar","Husband","Other","Male",0,1579,35,"British-Commonwealth","<=50K"
"27331",49,"Private",3,"Married","Service","Husband","White","Male",0,2603,40,"Euro_2","<=50K"
"27350",52,"Private",9,"Married","Sales","Husband","Black","Male",0,2377,40,"United-States","<=50K"
"27352",46,"Private",11,"Not-Married","Other-Occupations","Unmarried","Black","Female",0,625,40,"United-States","<=50K"
"27354",30,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1740,40,"United-States","<=50K"
"27378",40,"Self-Employed",9,"Married","Blue-Collar","Husband","White","Male",0,1672,40,"United-States","<=50K"
"27391",42,"Private",16,"Married","Professional","Husband","White","Male",0,1902,50,"United-States",">50K"
"27430",17,"Private",6,"Never-Married","Service","Own-child","White","Female",0,1602,12,"United-States","<=50K"
"27431",34,"Self-Employed",10,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,1504,60,"United-States","<=50K"
"27451",33,"Private",11,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,2444,42,"United-States",">50K"
"27497",19,"Private",10,"Never-Married","Sales","Own-child","Amer-Indian","Female",0,1721,25,"United-States","<=50K"
"27606",56,"Self-Employed",9,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
"27646",59,"Private",13,"Married","White-Collar","Husband","White","Male",0,1977,50,"United-States",">50K"
"27648",35,"Private",13,"Never-Married","Sales","Own-child","Asian","Male",0,1590,40,"Euro_2","<=50K"
"27661",40,"Self-Employed",12,"Married","Blue-Collar","Husband","White","Male",0,2377,50,"United-States","<=50K"
"27733",50,"Private",9,"Never-Married","Admin","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"27738",34,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1651,38,"United-States","<=50K"
"27753",52,"Private",13,"Not-Married","Admin","Unmarried","White","Female",0,1092,40,"United-States","<=50K"
"27772",65,"Federal-Govt",10,"Married","White-Collar","Husband","Black","Male",0,2174,40,"United-States",">50K"
"27814",40,"Private",10,"Married","Blue-Collar","Husband","White","Male",0,1887,68,"United-States",">50K"
"27824",53,"Federal-Govt",9,"Married","Blue-Collar","Husband","White","Male",0,1740,50,"United-States","<=50K"
"27826",44,"Private",13,"Married","White-Collar","Husband","White","Male",0,1902,56,"United-States",">50K"
"27832",54,"Private",16,"Married","White-Collar","Husband","White","Male",0,1977,43,"United-States",">50K"
"27844",30,"Private",10,"Married","Sales","Husband","White","Male",0,1848,40,"United-States",">50K"
"27851",31,"Private",9,"Never-Married","Blue-Collar","Not-in-family","White","Male",0,2001,40,"United-States","<=50K"
"27904",66,"Other-Govt",13,"Widowed","Professional","Not-in-family","Black","Female",0,2206,25,"United-States","<=50K"
"27917",29,"Private",13,"Married","Professional","Wife","White","Female",0,1902,50,"United-States",">50K"
"27926",68,"Private",14,"Married","White-Collar","Husband","White","Male",0,2392,40,"United-States",">50K"
"27927",55,"Federal-Govt",9,"Married","Other-Occupations","Husband","White","Male",0,1887,40,"United-States",">50K"
"27934",39,"Private",7,"Not-Married","Blue-Collar","Not-in-family","White","Male",0,1876,46,"United-States","<=50K"
"27935",34,"Private",10,"Married","Blue-Collar","Husband","Black","Male",0,2179,40,"United-States","<=50K"
"27980",54,"Self-Employed",13,"Married","White-Collar","Wife","White","Female",0,1977,35,"United-States",">50K"
"28047",32,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,1672,40,"United-States","<=50K"
"28070",35,"Private",9,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
"28117",44,"Private",9,"Married","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
"28139",33,"Private",9,"Not-Married","Blue-Collar","Not-in-family","Black","Male",0,1741,40,"United-States","<=50K"
"28144",68,"Private",13,"Married","Sales","Husband","White","Male",0,2377,35,"United-States",">50K"
"28162",52,"Private",13,"Married","White-Collar","Husband","White","Male",0,1887,40,"United-States",">50K"
"28174",49,"Other-Govt",16,"Never-Married","White-Collar","Not-in-family","White","Female",0,2258,50,"United-States",">50K"
"28194",21,"Private",10,"Married","White-Collar","Husband","White","Male",0,2377,48,"United-States","<=50K"
"28199",23,"Private",13,"Never-Married","Blue-Collar","Own-child","White","Female",0,1719,40,"United-States","<=50K"
"28201",44,"Self-Employed",10,"Never-Married","Sales","Not-in-family","White","Male",0,2258,60,"United-States","<=50K"
"28203",31,"Private",13,"Married","White-Collar","Husband","White","Male",0,1977,55,"United-States",">50K"
"28244",34,"Federal-Govt",13,"Married","Other-Occupations","Husband","White","Male",0,1902,48,"United-States",">50K"
"28304",18,"Private",9,"Never-Married","Service","Own-child","White","Female",0,1602,20,"United-States","<=50K"
"28334",61,"Private",9,"Not-Married","Sales","Unmarried","White","Female",0,2754,25,"United-States","<=50K"
"28338",44,"Self-Employed",10,"Married","Blue-Collar","Husband","White","Male",0,1887,55,"United-States",">50K"
"28349",59,"Self-Employed",10,"Married","White-Collar","Husband","White","Male",0,1977,48,"United-States",">50K"
"28375",53,"Private",9,"Married","Service","Husband","Black","Male",0,1740,40,"United-States","<=50K"
"28378",23,"Other-Govt",13,"Never-Married","Professional","Not-in-family","White","Female",0,1092,40,"United-States","<=50K"
"28380",46,"Private",14,"Married","Professional","Husband","White","Male",0,1977,50,"United-States",">50K"
"28393",33,"Other-Govt",11,"Never-Married","Admin","Own-child","White","Male",0,1669,55,"United-States","<=50K"
"28424",35,"Private",9,"Married","Blue-Collar","Husband","White","Male",0,2377,40,"United-States","<=50K"
"28434",42,"Private",14,"Married","Professional","Husband","Asian","Male",0,1902,55,"British-Commonwealth",">50K"
"28510",34,"Private",11,"Never-Married","Other-Occupations","Not-in-family","White","Female",0,1974,40,"United-States","<=50K"
"28520",39,"Federal-Govt",15,"Married","Professional","Husband","White","Male",0,1887,50,"United-States",">50K"
"28526",47,"Other-Govt",10,"Not-Married","Professional","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
"28528",27,"Private",6,"Never-Married","Sales","Other-relative","White","Male",0,1980,40,"United-States","<=50K"
"28551",43,"Private",13,"Married","Professional","Husband","White","Male",0,1902,40,"United-States",">50K"
"28653",50,"Self-Employed",15,"Married","Professional","Husband","White","Male",0,2415,30,"United-States",">50K"
"28662",51,"Private",9,"Married","Sales","Husband","White","Male",0,2002,45,"United-States","<=50K"
